text	class
exampl imbibit absorpt water seed dri wood pressur produc swell wood use prehistor split rock boulder pressur due imbibit seedl would abl emerg soil open probabl would abl establish imbibit also diffus sinc water movement along concentr gradient seed almost water henc absorb water easili water potenti gradient absorb liquid imbib essenti imbibit addit imbib liquid adsorb liquid also pre long distanc water earlier stage might carri experi place twig bear white ower colour water watch turn colour examin cut end twig hour note region colour water move ihat experi easili demonstr path water movement vascular bundl speci calli xylem tri understand mechan movement water substanc plant long distanc substanc within plant diffus alon diffus slow process account short distanc movement molecul exampl movement molecul across typic plant cell take approxim rate calcul mani year would take movement molecul distanc within plant diffus alon larg complex organ often substanc move long distanc sometim site product absorpt site storag far diffus activ would suf special long distanc system becom necessari move substanc across long distanc much faster rate water miner food gener move mass system mass movement substanc mass one point anoth result pressur differ two point characterist mass substanc whether solut suspens swept along pace owe river unlik diffus differ substanc move independ depend concentr gradient achiev either posit hydrostat pressur gradient garden hose neg hydrostat pressur gradient suction straw	biology
plasmodesmata epidermi movement substanc conduct vascular call transloc rememb studi cross section stem leav higher studi vascular system higher highli specialis vascular xylem phloem xylem associ transloc mainli water miner salt organ nitrogen hormon aerial part phloem transloc varieti organ inorgan solut mainli leav part absorb water know absorb water goe obvious appli water soil leav respons absorpt water miner speci calli function root hair present million tip root hair wall slender extens root epiderm cell greatli increas surfac area absorpt water absorb along miner solut root hair diffus water absorb root hair move deeper root layer two distinct pathway apoplast pathway symplast pathway apoplast system adjac cell continu throughout plant except casparian strip endodermi figur apoplast movement water occur exclus intercellular space cell movement apoplast involv cell plasma membran cortex endodermi pencycl symplast casparian strip apoplast figur pathway water movement root	biology
membran movement depend gradient apoplast provid barrier water movement water movement mass water evapor intercellular space atmospher tension develop continu stream water apoplast henc mass water occur due adhes cohes properti water symplast system system interconnect protoplast neighbour cell connect cytoplasm strand extend plasmodesmata symplast movement water travel cell cytoplasm intercellular movement plasmodesmata water cell cell membran henc movement rel slower movement potenti gradient symplast movement may aid cytoplasm stream may observ cytoplasm stream cell hydrilla leaf movement chloroplast due stream easili visibl water occur via apoplast sinc cortic cell loos pack henc offer resist water movement howev inner boundari cortex endodermi impervi water band suberis matrix call casparian strip water molecul unabl penetr direct wall suberis cell proper membran water move symplast membran reach cell xylem movement water root layer symplast endodermi way water solut vascular cylind insid xylem water free move cell well water enter directli xylem vessel tracheid non conduit part apoplast path water miner ion root vascular system summaris figur addit symplast endodermi xylem casp arian phloem lastic structur associ cortex strip help water miner perlcyc absorpt mycorrhiza figur symplast apoplast pathway associ fungu root system fungal water ion absorpt movement	biology
lament form network around root penetr root cell hypha larg surfac area absorb miner ion water soil much larger soil perhap root fungu provid miner water turn provid sugar contain compound mycorrhiza oblig associ mycorrhiza exampl pinu seed germin establish without presenc mycorrhiza water movement plant look absorb water soil move vascular tri understand water transport variou part plant water movement activ still sinc water move graviti provid energi root pressur variou ion soil activ transport vascular water follow potenti gradient increas pressur insid xylem posit pressur call root pressur respons water small height see root pressur exist choos small soft stem plant day plenti atmospher cut near base sharp blade earli morn soon see drop solut ooz cut come due posit root pressur rubber tube cut sleev actual collect measur rate exud also determin exud effect root pressur also observ night earli morn evapor low water collect form droplet around special open vein near tip grass blade leav mani herbac part water loss liquid phase known guttat root pressur best provid modest push overal process water obvious play major role water movement tall tree root pressur may establish continu chain water molecul xylem often break enorm tension creat transpir root pressur account water meet need transpiratori transpir despit absenc heart circulatori system upward water xylem achiev fairli high	biology
rate metr per hour movement accomplish long stand question whether water pull plant research agre water mainli pull plant forc process transpir leav refer cohes tension transpir model water gener transpir water less per cent water reach leav use photosynthesi plant growth lost stomata leav water loss known transpir transpir earlier class enclos healthi plant polythen bag droplet water form insid bag could also water loss leaf use cobalt chlorid paper turn colour absorb water transpir transpir evapor loss water occur mainli stomata sing stoma loss water vapour transpir exchang oxygen carbon dioxid leaf also occur stomata normal stomata open day time close night immedi caus open close stomata chang turgid guard cell inner wall guard cell pore stomat apertur thick elast turgid increas within two guard cell ank stomat apertur pore outer bulg forc inner crescent open stoma also aid due orient microfibril cell guard cell cellulos rnicrofibril orient radial rather longitudin make easier stoma open guard cell lose turgor due water loss water stress elast inner origin guard cell becom accid stoma close usual lower surfac dorsiventr often dicotyledon leaf greater number stomata isobilater often monocotyledon leaf equal surfac transpir affect sever extern factor temperatur light micfo speed plant factor guard cell affect transpir includ number distribut stomata per cent open stomata water statu plant canopi structur etc stomat apertur figur stomat apertur guard cell	biology
transpir driven ascent xylem sap depend mainli follow physic properti water cohes mutual attract water molecul adhes attract water molecul polar surfac surfac tracheari element surfac tension water molecul attract liquid phase water phase properti give water high tensil strength abil resist pull forc high capillar abil rise capillar aid small diamet tracheari element tracheid element process photosynthesi requir water system xylem vessel root leaf vein suppli need water forc plant use move water molecul leaf parenchyma cell need water evapor stomata sinc film water cell continu result pull water molecul molecul leaf xylem also lower concentr water vapour atmospher compar substomat caviti intercellular space water diffus air creat figur measur reveal forc gener transpir creat pressur suf cient lift xylem size column water metr high palisad stomat guard cell pore diffus air figur water movement leaf evapor leaf set pressur gradient outsid air air space leaf gradient transmit photosynthet cell water fill xylem leaf vein	biology
transpir photosynthesi compromis transpir one purpos creat transpir absorpt suppli water photosynthesi miner soil part plant cool leaf surfac sometim evapor maintain structur keep cell turgid activ photosynthesis plant insati need water photosynthesi limit avail water swiftli deplet transpir rainforest larg due vast cycl water root leaf atmospher back soil evolut photosynthet system probabl one strategi maximis avail minimis water loss twice effici term xing carbon dioxid make sugar howev plant lose half much water plant amount uptak miner nutrient obtain carbon oxygen atmospher howev remain nutrit requir obtain water miner soil uptak miner ion unlik water miner passiv absorb two factor account miner present soil particl ion move across cell membran concentr miner soil usual lower concentr miner root therefor miner must root activ absorpt cytoplasm epiderm cell need energi form atp activ uptak ion partli respons water potenti gradient therefor uptak water osmosi ion also move epiderm cell passiv ion absorb soil activ speci protein membran root hair cell activ pump ion soil cytoplasm epiderm cell like cell endoderm cell mani protein embed plasma membran let solut cross membran other protein endoderm cell control point plant adjust quantiti type solut reach xylem note root endodermi suberin abil activ ion one direct	biology
transloc miner ion ion reach xylem activ uptak combin two part plant transpir stream chief sink miner element grow plant apic later meristem leav develop ower fruit seed storag organ unload miner ion occur vein end diffus activ uptak cell miner ion frequent remobilis particularli older senesc part older die leav export much miner content younger leav similarli leaf fall decid miner remov part element readili mobilis phosphoru sulphur nitrogen potassium element structur compon like calcium remobilis analysi xylem exud show though nitrogen travel inorgan ion much carri organ form amino acid relat compound similarli small amount carri organ compound addit small amount exchang take place xylem phloem henc clearli make distinct say categor xylem inorgan nutrient phloem organ tradit believ phloem flow sourc sink food primarili sucros transport vascular phloem sourc sink usual sourc understood part plant synthesis food leaf sink part need store food sourc sink may depend season plant need sugar store may mobilis becom sourc food earli spring bud tree act sink need energi growth develop photosynthet apparatu sinc sourc sink relationship variabl direct movement phloem upward downward direct contrast xylem movement alway unidirect upward henc unlik one way water transpir food phloem sap transport requir direct long sourc sugar sink abl use store remov sugar phloem sap mainli water sucros sugar hormon amino acid also transport transloc phloem	biology
pressur flow mass flow hypothesi accept mechan use transloc sugar sourc sink call pressur hypothesi see figur glucos sourc photosynthesi convert sucros dissacharid sugar move form sucros companion cell phloem siev tube cell activ process load sourc produc hyperton condit phloem water adjac xylem move phloem osmosi osmot pressur build phloem sap move lower pressur sink osmot pressur must reduc activ necessari move sucros phloem sap cell use sugar convert energi starch cellulos sugar remov osmot pressur decreas water move phloem summaris movement sugar phloem begin sourc sugar load activ transport siev tube load phloem set water potenti gradient facilit mass movement phloem phloem compos siev tube cell form long column hole end call siev plate cytoplasm strand pass hole siev plate form continu lament hydrostat pressur siev tube phloem increas pressur begin sap move phloem meanwhil sink incom sugar activ transport phloem remov sugar leav siev water follow osmosi tip sugar solut low turgor pressur phloem metabol storag water follow osmosi root sugar siev water follow osmosi sugar leav siev tube high turgor pressur figur diagrammat present mechan transloc	biology
complex carbohydr loss solut produc high water potenti phloem water pass return eventu xylem simpl experi call girdl use identifi food transport trunk tree ring bark depth phloem care remov absenc downward movement food portion bark ring becom swollen week simpl experi show phloem respons transloc food take place one direct experi perform easili summari obtain varieti inorgan element ion salt surround especi water soil movement nutrient environ plant well one plant cell anoth plant cell essenti involv movement across cell membran across cell membran diffus facilit activ water miner absorb transport xylem organ materi synthesis leav transport part plant phloem diffusr vosmo act two mode organ nutrient across gel nutrient move aeross agn diffus without use diffus slibstanc depend size solubl water organ solvent osmosi special ype diffus water across select permeabl membran whrchidepend pressur gradient concentr gradient activ energi form atp utilis pump molecul concentr gradient across membran water potenti potenti energi ofwat molecul help movement water determin solut olenti pressur potenti osmot behaviour cell depend solut solut cell hyperton get plasmolys absorpt water seed drywood take place special type diffus call imbibit higher vascular system compris xylem phloem respons transloc water miner food move within bodi plant diffus alon therefor transport mass system movement one point anoth result pressur differ two point water absorb root hair move root two distinct pathway apoplast symplast variou ion water soil transport upto small height stem root pressur transpir model accept explain water transpir	biology
mean plant water relat long distanc water tran rat ion uptak miner ent phloem flow sourc sink hosochh chapter ever wonder water reach top tall tree matter substanc move one cell whether substanc move similar way direct whether metabol energi requir move substanc need move molecul long distanc much also circulatori system place water taken reach part plant tip grow photosynth food synthesis leav also move part includ root tip embed deep insid soil movement across short distanc say within cell across membran cell cell within also take place understand process take place one would recollect one basic knowledg structur cell anatomi plant bodi also need understand diffus gain knowledg chemic potenti ion talk movement substanc need first defin kind movement also substanc look ower plant substanc would need transport water miner nutrient organ nutrient plant growth regul small distanc substanc move diffus cytoplasm stream supplement activ longer distanc proce vascular system xylem phloem call transloc import aspect need consid direct root xylem water miner essenti unidirect stem organ miner nutrient howev undergo multidirect organ	biology
loss water form vapour plant part stomata temperatur light speed number stomata affect rate transpir water also remov tip leav guttat phloem respons food primarili sucros sourc sink transloc phloem direct sourc sink relationship variabl transloc phloem explain pressur hypothesi exercis factor affect rate diffus porin role play diffus describ role play protein pump activ explain water maximum water potenti differenti follow diffus osmosi transpir evapor osmot pressur osmot potenti imbibit diffus apoplast symplast pathway movement water guttat transpir brie describ water potenti factor affect happen pressur greater atmospher pressur appli water solut help well label diagram describ process plasmolysi give appropri exampl explain happen plant cell kept solut higher water potenti mycorrhiz associ help absorpt water miner role root pressur play water movement describ transpir model water factor uenc transpir use discuss factor respons ascent xylem sap essenti role root endoderrni play miner absorpt explain xylem unidirect phloem direct explain pressur hypothesi transloc sugar caus open close guard cell stomata transpir	biology
compound synthesis photosynthet leav export part plant includ storag organ storag organ later export miner nutrient taken transport upward leav grow plant part undergo senesc nutrient may withdrawn move grow part hormon plant growth regul chemic signal also transport though small amount sometim strictli polaris unidirect synthesis part henc ower plant complex traf compound probabl orderli move differ direct receiv substanc give other mean diffus movement diffus may one part cell cell cell short distanc say inter space leaf outsid energi expenditur take place diffus molecul move random fashion net result substanc move higher concentr lower concentr diffus slow process depend system diffus obviou gase diffus solid like rather solid diffus import sinc mean gaseou movement within plant bodi diffus rate affect gradient concentr permeabl membran temperatur pressur facilit diffus point earlier gradient must alreadi present diffus occur diffus rate depend size substanc obvious smaller substanc dif faster diffus across membran also depend solubl lipid major constitu membran substanc solubl lipid diffus membran faster substanc hydrophil moieti dif cult pass membran movement facilit membran protein provid site molecul cross membran set concentr gradient concentr gradient must alreadi present molecul diffus even facilit protein process call facilit diffus facilit diffus special protein help move substanc across membran without expenditur atp energi facilit diffus caus net molecul low high concentr would requir input energi rate reach maximum protein transport use satur facilit	biology
outer side cell membran protein ert outer side inner side cell cell membran figur facilit diffus diffus speci allow cell select substanc uptak sensit inhibitor react protein side chain protein form membran molecul pass alway open other control larg allow varieti molecul cross porin protein form larg pore outer membran plastid mitochondria bacteria allow molecul size small protein pass figur show extracellular molecul bound protein protein releas molecul insid cell water made eight differ type aquaporin symport antiport carrier protein allow diffus two type molecul move togeth symport molecul cross membran direct antiport move opposit direct figur uniport antiport carrier protein membran figur facilit diffus	biology
molecul move across membran independ molecul process call uniport activ activ use energi pump molecul concentr gradient activ carri specif membran protein henc differ protein membran play major role activ well pump protein use energi carri substanc across cell membran pump substanc low concentr high concentr uphil rate reach maximum protein transport use satur like enzym carrier protein specif carri across membran protein sensit inhibitor react protein side chain comparison differ process tabl give comparison differ mechan protein membran respons facilit diffus activ henc show common characterst highli select liabl respond inhibitor hormon regul diffus whether facilit take place along gradient use energi tabl comparison differ mechan simpl facilit activ diffus requir special membran protein highli select satur uphil requir atp energi plant water relat water essenti activ plant play import role organ provid medium substanc dissolv protoplasm cell noth water differ molecul dissolv sever particl suspend watermelon per cent water herbac per cent fresh weight dri matter cours distribut water within plant vari woodi part rel littl water soft part contain	biology
water seed may appear dri still water otherwis would aliv respir terrestri take huge amount water lost air evapor leav transpir matur corn plant almost three litr water day mustard plant water equal weight hour high demand water surpris water often factor plant growth product agricultur natur environ water potenti comprehend plant water relat understand certain standard term necessari water potenti concept fundament understand water movement solut potenti pressur potenti two main compon determin water potenti water molecul possess kinet energi liquid gaseou form random motion rapid constant greater concentr water system greater kinet energi water potenti henc obviou water water potenti two system contain water contact random movement water molecul result net movement water molecul system higher energi one lower energi thu water move system contain water higher water potenti one low water potenti process movement substanc gradient free energi call diffus water potenti denot greek symbol psi express pressur unit pascal convent water potenti water standard temperatur pressur taken zero solut dissolv water solut fewer free water molecul concentr free energi water decreas reduc water potenti henc solut lower water potenti water magnitud lower due dissolut solut call solut potenti alway neg solut molecul lower neg solut atmospher pressur water potenti solut potenti pressur greater atmospher pressur appli water solut water potenti increas equival pump water one place anoth think system bodi pressur built pressur build plant system water enter plant cell due diffus caus pressur built cell wall make cell turgid see section	biology
solut molecul water figur increas pressur potenti pressur potenti usual posit though neg potenti tension water column xylem play major role water pressur potenti denot water potenti cell affect solut pressur potenti relationship follow osmosi plant cell surround cell membran cell wall cell wall permeabl water substanc solut henc barrier movement cell usual contain larg central vacuol whose content sap solut potenti cell plant cell cell membran membran vacuol tonoplast togeth import movement molecul cell osmosi term use refer speci calli diffus water across select permeabl membran osmosi occur spontan respons forc net direct rate osmosi depend pressur gradient concentr gradient water move region higher chemic potenti concentr region lower chemic potenti equilibrium reach equilibrium two chamber nearli water potenti may made potato earlier class school potato tuber place water water enter caviti potato tuber contain concentr solut sugar due osmosi figur two chamber contain solut separ permeabl membran solut chamber lower water potenti solut chamber lower solut potenti direct osmosi occur solut higher solut potenti equilibrium chamber lower water potenti one chamber kpa kpa chamber higher direct movement water two solut mpa mpa separ select permeabl membran select permeabl membran	biology
let discuss anoth experi solut sucros water taken funnel separ water beaker select permeabl membran figur get kind membran egg remov small hole one end egg place shell dilut solut hydrochlor acid hour egg shell leav membran intact water move funnel result rise level solut funnel continu till equilibrium reach case sucros diffus membran equilibrium ever reach extern pressur appli upper part funnel water diffus funnel membran pressur requir prevent water diffus fact osmot pressur function solut concentr solut concentr greater pressur requir prevent water diffus osmot pressur equival osmot potenti sign opposit osmot pressur posit pressur appli osmot potenti neg plasmolysi behaviour plant cell regard water movement depend solut extern solut osmot pressur cytoplasm said isoton extern solut dilut cytoplasm hypoton extern solut concentr hyperton cell hypoton solut shrink hyperton one plasmolysi occur water move cell cell membran plant cell away cell wall occur pressur figur demonstr osmosi funnel fill sucros solut kept invert beaker contain water water diffus across membran shown arrow rais level solut funnel pressur appli shown stop water movement funnel	biology
plasmolys figur plant cell plasmolysi cell place solut hyperton solut protoplasm water move rst lost cytoplasm vacuol water drawn cell diffus extracellular outsid cell uid caus protoplast shrink away cell said plasmolys movement water occur across membran move area high water potenti cell area lower water potenti outsid cell figur occupi space cell wall protoplast plasmolys cell cell place isoton solut net water insid outsid extern solut osmot pressur cytoplasm said isoton water cell cell equilibrium cell said accid process plasmolysi usual revers cell place hypoton solut higher water potenti dilut solut compar cytoplasm water diffus cell caus cytoplasm build pressur wall call turgor pressur pressur exert protoplast due entri water call pressur potenti cell wall cell ruptur turgor pressur respons enlarg extens growth cell would cell organ possess cell wall imbibit imbibit special type diffus water absorb solid caus increas classic	biology
chapter chapter miner nutrit chapter photosynthesi higher chapter respir chapter plant growth develop unit plant physiolog descript structur variat organ period time end two appar irreconcil perspect two perspect essenti rest two level organis life form one describ organism level organis second describ molecular level organis first relat disciplin second physiolog biochemistri descript process ower exampl given chapter unit process miner nutrit photosynthesi respir plant growth develop describ molecular term context activ even organ level appropri relat process environ also discuss	biology
miner nutrit suitabl plant growth obtain method essenti element identi cienci symptom discov success techniqu commerci product veget tomato seedless cucumb must emphasis nutrient solut must aerat obtain optimum growth would happen solut aerat diagrammat hydropon techniqu given figur essenti miner element miner present soil fact element discov far found differ plant speci selenium other gold grow near test site take radioact techniqu abl detect miner even low concentr question whether miner element present plant exampl gold selenium mention realli necessari decid essenti criteria essenti criteria essenti element given element must absolut necessari support normal growth reproduct absenc element complet life cycl set seed requir element must speci anoth element word cienci one element met element element must directli involv metabol plant funnel water nutrient figur diagram typic set nutrient solut cultur nutrient figur hydropon plant product grown tube place slight pump nutrient solut elev end tube solut tube return due graviti show plant whose continu bath aerat nutrient solut arrow indic direct	biology
exampl imbibit absorpt water seed dri wood pressur produc swell wood use prehistor split rock boulder pressur due imbibit seedl would abl emerg soil open probabl would abl establish imbibit also diffus sinc water movement along concentr gradient seed almost water henc absorb water easili water potenti gradient absorb liquid imbib essenti imbibit addit imbib liquid adsorb liquid also pre long distanc water earlier stage might carri experi place twig bear white ower colour water watch turn colour examin cut end twig hour note region colour water move ihat experi easili demonstr path water movement vascular bundl speci calli xylem tri understand mechan movement water substanc plant long distanc substanc within plant diffus alon diffus slow process account short distanc movement molecul exampl movement molecul across typic plant cell take approxim rate calcul mani year would take movement molecul distanc within plant diffus alon larg complex organ often substanc move long distanc sometim site product absorpt site storag far diffus activ would suf special long distanc system becom necessari move substanc across long distanc much faster rate water miner food gener move mass system mass movement substanc mass one point anoth result pressur differ two point characterist mass substanc whether solut suspens swept along pace owe river unlik diffus differ substanc move independ depend concentr gradient achiev either posit hydrostat pressur gradient garden hose neg hydrostat pressur gradient suction straw	biology
